op_carrier,number_of_flights,total_cancelled,total_diverted,avg_dep_delay,avg_arr_delay
9E,1066251.0,25797.0,2678.0,7.0067141789316025,2.9417444860544095
AA,6682161.0,108555.0,20087.0,9.37603867970257,5.079089085102858
AS,1660539.0,10796.0,4385.0,1.7151129843984394,-0.9338184770125845
B6,2483969.0,43906.0,6330.0,12.233156693984506,8.009783133364385
CO,740498.0,6142.0,1984.0,8.900764080389143,5.07956672401546
DL,7841880.0,62966.0,15377.0,7.43432863037945,1.1951225981524838
EV,4726445.0,137042.0,13545.0,11.671199389816236,8.185885586312757
F9,903218.0,7143.0,1422.0,11.418541260249464,9.070265428722633
FL,1218389.0,11732.0,2771.0,6.124385561589936,3.6108279047168024
HA,744991.0,1412.0,656.0,-0.012302162039541417,0.6940271761672289
MQ,3216260.0,113693.0,8256.0,8.458438061599498,6.625725532139815
NW,292400.0,1759.0,544.0,5.678960328317373,3.893300273597811
OH,577060.0,22623.0,1496.0,10.758886424288635,8.3292829168544
OO,6263052.0,114445.0,17307.0,7.734227019031616,5.567063310347734
UA,4826658.0,58635.0,11432.0,10.762190526032713,3.317096632908319
US,2657286.0,36711.0,4449.0,4.070148640379696,1.9190576400131563
WN,12096540.0,133587.0,24562.0,10.73638842181318,4.79268121297495
XE,1105864.0,27595.0,3347.0,8.325001989394718,7.303480355631434
YV,1063558.0,22740.0,2077.0,6.968289458590881,5.127252110369157
VX,389060.0,3550.0,952.0,10.429746054593123,6.199956304940112
NK,588574.0,11511.0,902.0,11.526762989870432,7.944447087367094
G4,96221.0,769.0,260.0,12.8221178329055,9.876752476070711
YX,316090.0,10100.0,738.0,7.1136764845455405,2.9711949128412796
